item_id,variant,subsystem,item_name,specification,source_asset,base_qty,roller_qty,purchase_qty,unit,procurement_class,status,confidence,verification_gate,source_url,notes
M029,roller,roller,Wheel rim,Simulation-derived rigid print,rim.stl,0,4,,piece,print_rigid,confirmed_model,medium,Verify axle and tire fit,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels
M030,roller,roller,Roller chassis,Simulation-derived rigid print,roller_blade.stl,0,2,,piece,print_rigid,confirmed_model,medium,Verify ankle and wheel clearances,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per foot
M031,both,mechanical,Large bearing,16 mm ID x 22 mm OD x 4 mm,seeed_bearing__configuration__22x16x4.stl,11,11,13,piece,purchase,confirmed_model,medium,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Purchase quantity includes two spares
M032,both,mechanical,Small bearing,approximately 10 mm ID x 15 mm OD x 3 mm,seeed_bearing__configuration_default.stl,3,3,5,piece,purchase,confirmed_model,medium,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Purchase quantity includes two spares
M033,both,head,Soft upper mouth,Flexible print candidate,soft_mouth_top.stl,1,1,,piece,print_flexible,confirmed_model,low,Print TPU coupon and verify grip and travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Material is inferred
M034,walking,feet,Walking left sole,Flexible print candidate,sole_left.stl,1,0,,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M035,walking,feet,Walking right sole,Flexible print candidate,sole_right.stl,1,0,,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M036,both,audio,Speaker,Envelope approximately 35 x 25 x 7 mm,speaker.stl,1,1,2,piece,purchase,needs_confirmation,low,Measure impedance power and mounting before purchase,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Purchase quantity includes one spare but electrical model is unknown
M037,roller,roller,Roller tire,Flexible print candidate,tire.stl,0,4,,piece,print_flexible,confirmed_model,low,Print TPU durometer coupons and rolling test,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels
M038,both,head,Upper head shell,Simulation-derived rigid print,top_head_shell.stl,1,1,,piece,print_rigid,confirmed_model,medium,Check shell closure and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M039,both,body,Trunk base,Simulation-derived rigid print,trunk_base.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify all hip neck and electronics interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M040,both,legacy,Older left trunk shell export,Unreferenced legacy mesh,trunk_shell_left.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies
M041,both,legacy,Older right trunk shell export,Unreferenced legacy mesh,trunk_shell_right.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies
M042,both,legs,Left upper leg,Simulation-derived rigid print,upper_leg_left.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M043,both,legs,Right upper leg,Simulation-derived rigid print,upper_leg_right.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M044,both,legs,Upper-leg rigidity plate,Simulation-derived rigid print,upper_leg_rigidity_plate.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify fastener stack and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side
M045,both,actuators,Dynamixel XL330-M288-T,TTL 3-pin servo,xl330.stl,15,15,18,piece,purchase,confirmed_runtime,high,Configure and bench-test each servo at rated voltage,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,Fifteen installed plus three spares
M046,both,hips,Hip yaw-to-roll bracket,Simulation-derived rigid print,yaw2roll.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify mirrored assembly and servo horn alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side
M047,both,neck,Head yaw-roll linkage,Simulation-derived rigid print,yaw_roll_motion.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify both axes and cable twist range,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
F001,both,fasteners,M2 x 4 socket-head screws,M2 metric socket-head,,0,0,60,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count
F002,both,fasteners,M2 x 6 socket-head screws,M2 metric socket-head,,0,0,80,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count
F003,both,fasteners,M2 x 8 socket-head screws,M2 metric socket-head,,0,0,40,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count
F004,both,fasteners,M2 x 12 socket-head screws,M2 metric socket-head,,0,0,15,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count
F005,both,fasteners,M2 nuts,Metric nuts,,0,0,50,piece,consumable,inferred,low,Confirm where through-bolting is physically possible,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Do not assume every hole accepts a nut
F006,both,fasteners,M2 heat-set inserts,For selected print material,,0,0,60,piece,consumable,design_choice,medium,Pull-out and repeated-assembly coupon test,,Preferred over directly tapping simulation-derived prints
F007,both,fasteners,M2.5 x 6 screws,M2.5 metric,,0,0,20,piece,consumable,inferred,low,Confirm all 2.7 to 2.8 mm holes before use,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity only
F008,both,fasteners,Servo horn fasteners,XL330-compatible horn and center screw,,15,15,18,set,purchase,needs_confirmation,low,Confirm supplied hardware and spline engagement,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,May be included with each servo
F009,roller,roller,Wheel axles,Diameter and retention TBD,,0,4,6,piece,fabricate,needs_confirmation,low,Measure roller CAD and conduct pull-out test,https://github.com/fanhao375/microduck-replica,Not represented as a separate MJCF mesh
F010,roller,roller,Wheel spacers and washers,Dimensions TBD,,0,0,,set,fabricate,needs_confirmation,low,Measure assembled wheel side play,https://github.com/fanhao375/microduck-replica,Quantity remains open
F011,both,consumables,Low-strength threadlocker,Plastic-safe and removable,,0,0,1,bottle,consumable,design_choice,medium,Compatibility test on printed polymer,,Do not use on heat-set insert installation
E001,both,compute,Radxa Zero 3W,RK3566 with suitable RAM and storage,,1,1,1,piece,purchase,confirmed_runtime,high,Boot current supported Armbian and expose ttyS2,https://docs.radxa.com/en/zero/zero3,Current alpha runtime target
E002,both,compute,System storage,32 GB or larger eMMC or microSD,,1,1,2,piece,purchase,needs_confirmation,medium,Complete install update and rollback endurance test,https://docs.radxa.com/en/zero/zero3/download,One installed plus one recovery spare
E003,both,control,Replacement imu_to_dxl board,Dynamixel V2 slave ID200 at 1 Mbps,,1,1,2,piece,custom_board,needs_confirmation,low,Pass register block timing freshness and full-bus tests,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,Official schematic and firmware are not public
E004,both,control,LSM6DSV16X IMU,ST 6-axis IMU with SFLP,,1,1,3,piece,purchase,confirmed_runtime,high,Match gyro scale and quaternion output,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,Installed on replacement imu_to_dxl board
E005,both,control,IMU board MCU,1 Mbps UART plus SPI or I2C and sufficient flash,,1,1,3,piece,purchase,design_choice,low,Select part after firmware and timing prototype,,STM32G0 or equivalent class only as a placeholder
E006,both,control,IMU board half-duplex interface,3.3 V TTL automatic turnaround,,1,1,3,piece,purchase,design_choice,low,Scope turnaround at 1 Mbps and validate collisions,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,Exact circuit remains to be selected
E007,both,control,IMU board PCB,Two-layer prototype then reviewed release,,1,1,3,piece,fabricate,design_choice,low,DRC ERC assembly and bus tests,,Three boards supports destructive debug and spares
E008,both,electronics,Replacement Robot HAT,65 x 30 mm outline with power bus and peripherals,,1,1,3,piece,custom_board,needs_confirmation,low,Electrical review and staged bring-up,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,Official schematic is not public
E009,both,electronics,40-pin board header,Radxa Zero 3W compatible,,1,1,3,piece,purchase,confirmed_runtime,medium,Mechanical stack-height and continuity test,https://docs.radxa.com/en/zero/zero3,Two spares for board iterations
E010,both,bus,Host half-duplex TTL interface,UART2 to single-wire 3.3 V TTL,,1,1,3,piece,purchase,design_choice,low,Scope TX RX turnaround and full 16-device traffic,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,Must not require an unimplemented direction GPIO
E011,both,power,Logic rail regulator,2S input to regulated 5 V at least 3 A,,1,1,2,piece,purchase,design_choice,medium,Load-step and thermal test with Radxa camera and sensors,https://docs.radxa.com/en/zero/zero3,Final rating depends on measured load
E012,both,power,Servo rail regulator,2S input to adjustable output no greater than 6 V,,1,1,2,piece,purchase,design_choice,low,Single-servo then five-servo transient and thermal tests,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,Current rating is blocked on measurements
E013,both,power,NP-F battery,NP-F550 or NP-F970 2S pack,,1,1,2,piece,purchase,confirmed_runtime,medium,Mass clearance runtime and discharge test,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/model.rs,Use protected reputable packs
E014,both,power,NP-F battery plate,Matching pack contacts and mechanical retention,,1,1,2,piece,purchase,needs_confirmation,low,Retention polarity and current test,,Exact official part is unknown
E015,both,power,Main fuse,Replaceable fuse sized after load measurement,,1,1,5,piece,purchase,design_choice,low,Fault injection and nuisance-trip test,,Do not choose rating before current measurements
E016,both,power,Master switch or emergency disconnect,DC-rated for measured current,,1,1,2,piece,purchase,design_choice,medium,Interrupt worst-case load repeatedly,,Must be reachable during suspended bring-up
E017,both,power,Reverse-polarity and inrush protection,Low-loss protected input stage,,1,1,2,piece,purchase,design_choice,low,Reverse input and hot-plug test with dummy load,,Circuit remains to be designed
E018,both,power,Bus bulk capacitance,Low-ESR capacitor bank sized from scope captures,,1,1,2,set,purchase,design_choice,low,Keep bus within regulator limits during step load,,Value remains open
E019,both,vision,IMX219 camera module,Radxa-compatible Raspberry Pi Camera v2 class,,1,1,2,piece,purchase,confirmed_runtime,medium,Verify 1080p30 capture orientation and thermal behavior,https://github.com/pollen-robotics/microduck/tree/main/mediad,One installed plus one spare
E020,both,vision,MIPI CSI ribbon cable,Length and contact orientation TBD,,1,1,2,piece,purchase,needs_confirmation,low,Verify routing through head and full motion,,Length depends on final mechanical route
E021,both,ranging,VL53L8CX ToF module,8 x 8 ranging module with I2C and Stemma/Qwiic,,1,1,2,piece,purchase,confirmed_runtime,medium,Verify address 0x29 and stable 15 Hz stream,https://github.com/pollen-robotics/microduck/tree/main/tof,VL53L5CX compatibility requires separate validation
E022,both,ranging,Stemma/Qwiic cable,Four-wire I2C cable length TBD,,1,1,2,piece,purchase,needs_confirmation,low,Verify bend radius and head motion,,Route before shell closure
E023,both,audio,Audio codec or replacement amplifier,Original TLV320AIC3104 path or simplified I2S output,,1,1,2,piece,purchase,needs_confirmation,low,Playback capture noise and boot tests,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,Choose full codec only if microphone input is required
E024,both,audio,Microphone,Electrical and acoustic specification TBD,,1,1,2,piece,purchase,needs_confirmation,low,Record speech and measure self-noise,,Not represented by a distinct simulation mesh
E025,both,bus,Dynamixel cable segments,JST EH 3-pin with GND VDD DATA,,16,16,21,piece,fabricate,inferred,low,Continuity polarity resistance and motion test,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Length per segment remains to be measured
E026,both,bus,JST EHR-03 housings,Two per fabricated bus cable,,32,32,42,piece,purchase,inferred,medium,Crimp pull test and keyed polarity check,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Purchase quantity covers 21 cables
E027,both,bus,JST SEH-001T-P0.6 terminals,Three per housing,,96,96,126,piece,purchase,inferred,medium,Crimp cross-section or pull test,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Purchase quantity covers 42 housings
E028,both,bus,Motor-bus wire,Red black and data conductors compatible with JST EH,,0,0,,meter,consumable,needs_confirmation,low,Measure total routed lengths plus service loops,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Official manual lists 21 AWG but fit must be verified
E029,both,service,USB-C service cable,Data-capable cable for flashing and recovery,,1,1,2,piece,purchase,confirmed_runtime,high,Verify maskrom and normal data operation,https://docs.radxa.com/en/zero/zero3,One spare recommended
E030,both,compute,Wi-Fi and Bluetooth antennas,Onboard or external depending Radxa SKU,,1,1,1,set,purchase,needs_confirmation,medium,Range test with shells closed,https://docs.radxa.com/en/zero/zero3,Confirm selected board SKU and antenna configuration
C001,both,materials,Rigid print material,PETG PA or equivalent after coupon tests,,0,0,1,kilogram,consumable,design_choice,low,Strength creep impact and insert retention tests,,Do not commit material before coupons
C002,both,materials,Flexible print material,TPU with selected shore hardness,,0,0,1,spool,consumable,design_choice,low,Friction grip compression and tear tests,,Used for mouth soles and roller tires
C003,both,materials,Prototype print material,Low-cost material for fit checks,,0,0,1,spool,consumable,design_choice,medium,Dimension coupons and dry assemblies,,Do not use for final load-bearing parts
T001,tooling,service,U2D2 or compatible Dynamixel adapter,USB to TTL Dynamixel interface,,0,0,1,piece,tooling,design_choice,high,Configure one factory servo at a time,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#quick-start,Required before multi-device bus assembly
T002,tooling,power,Current-limited bench supply,0 to 6 V with logging preferred,,0,0,1,piece,tooling,design_choice,high,Single-servo and subsystem current tests,,Do not begin with an unrestricted battery
T003,tooling,measurement,Digital multimeter,Continuity resistance and DC current capability,,0,0,1,piece,tooling,design_choice,high,Independent polarity and continuity checks,,
T004,tooling,measurement,Oscilloscope,At least two channels and suitable bandwidth,,0,0,1,piece,tooling,design_choice,medium,Inspect bus turnaround noise and power transients,,Required for board validation
T005,tooling,fabrication,JST EH crimp tool,Compatible with selected terminal and wire,,0,0,1,piece,tooling,design_choice,medium,Repeatable pull-test results,,
T006,tooling,fabrication,Soldering and rework station,Temperature-controlled with hot-air access,,0,0,1,set,tooling,design_choice,medium,Assemble and repair prototype boards,,
T007,tooling,measurement,Digital caliper,0.01 mm display resolution,,0,0,1,piece,tooling,design_choice,high,Measure bearing seats holes and fastener stacks,,
T008,tooling,safety,Suspended robot stand,Supports robot clear of floor with quick access,,0,0,1,piece,tooling,design_choice,high,Stable through full joint travel,,Required for first torque-on
